    Tev(Myr)       type        Mo          Mt      L          R       Teff          Mc          Menv            Renv            epoch    spin         
   2992.5959      3.0000      1.4997      1.4996      9.5422      4.3133   4906.5640      0.1845      0.1103  93.964E-02     -1.5528  7.0003E+01
   2993.8196      3.0000      1.4997      1.4995      9.6580      4.3430   4904.5034      0.1849      0.1102  94.829E-02     -1.5528  6.8967E+01
   2995.0310      3.0000      1.4997      1.4995      9.7752      4.3730   4902.4326      0.1853      0.1101  95.693E-02     -1.5528  6.7947E+01
   2996.2305      3.0000      1.4997      1.4995      9.8938      4.4032   4900.3525      0.1857      0.1101  96.556E-02     -1.5528  6.6943E+01
   2997.4177      3.0000      1.4997      1.4995     10.0139      4.4336   4898.2622      0.1860      0.1100  97.418E-02     -1.5528  6.5955E+01
   2998.5933      3.0000      1.4997      1.4995     10.1354      4.4642   4896.1626      0.1864      0.1099  98.279E-02     -1.5528  6.4983E+01
   2999.7571      3.0000      1.4997      1.4995     10.2583      4.4951   4894.0527      0.1868      0.1098  99.137E-02     -1.5528  6.4026E+01
   3000.9092      3.0000      1.4997      1.4995     10.3828      4.5262   4891.9336      0.1872      0.1097  99.994E-02     -1.5528  6.3084E+01
   3002.0498      3.0000      1.4997      1.4995     10.5088      4.5576   4889.8047      0.1875      0.1096  10.085E-01     -1.5528  6.2157E+01
   3003.1790      3.0000      1.4997      1.4995     10.6363      4.5891   4887.6655      0.1879      0.1095  10.170E-01     -1.5528  6.1244E+01
   3004.2969      3.0000      1.4997      1.4995     10.7654      4.6210   4885.5171      0.1883      0.1095  10.255E-01     -1.5528  6.0346E+01
   3005.4036      3.0000      1.4997      1.4995     10.8960      4.6530   4883.3589      0.1887      0.1094  10.339E-01     -1.5528  5.9461E+01
   3006.4990      3.0000      1.4997      1.4995     11.0282      4.6853   4881.1909      0.1890      0.1093  10.423E-01     -1.5528  5.8591E+01
   3007.5837      3.0000      1.4997      1.4995     11.1620      4.7179   4879.0132      0.1894      0.1092  10.507E-01     -1.5528  5.7733E+01
   3008.6577      3.0000      1.4997      1.4995     11.2974      4.7507   4876.8257      0.1898      0.1091  10.590E-01     -1.5528  5.6890E+01
   3009.7207      3.0000      1.4997      1.4994     11.4345      4.7837   4874.6284      0.1902      0.1090  10.673E-01     -1.5528  5.6059E+01
   3010.7732      3.0000      1.4997      1.4994     11.5732      4.8170   4872.4214      0.1906      0.1090  10.755E-01     -1.5528  5.5241E+01
   3011.8152      3.0000      1.4997      1.4994     11.7137      4.8506   4870.2046      0.1910      0.1089  10.837E-01     -1.5528  5.4436E+01
   3012.8467      3.0000      1.4997      1.4994     11.8558      4.8844   4867.9785      0.1913      0.1088  10.918E-01     -1.5528  5.3643E+01
   3013.8679      3.0000      1.4997      1.4994     11.9996      4.9184   4865.7427      0.1917      0.1087  10.998E-01     -1.5528  5.2863E+01
   3014.8789      3.0000      1.4997      1.4994     12.1452      4.9527   4863.4966      0.1921      0.1086  11.078E-01     -1.5528  5.2094E+01
   3015.8796      3.0000      1.4997      1.4994     12.2926      4.9873   4861.2412      0.1925      0.1085  11.156E-01     -1.5528  5.1337E+01
   3016.8706      3.0000      1.4997      1.4994     12.4417      5.0222   4858.9766      0.1929      0.1085  11.234E-01     -1.5528  5.0592E+01
